TUNTIKIRJANPITO:

päivä	aika	kohde
14.1	40 min	Github-räpeltäminen
15.1	1 h	Github-räpeltäminen jatkuu, aihemäärittely
16.1	3 h     Koodaaminen alkaa, luokkien luomista yms.
17.1	4 h     Lisää koodaamista, metodeja, tekstikäyttöliittymä…
18.1	3 h     Koodin parantelua, testien luomista, luokkakaavio
21.1	4 h     Hakuominaisuuksia
22.1	4 h	Hakujen parantelua, poikkeustilanteita
23.1	3 h	Tiedostonkäsittelijän tekeminen alkaa
24.1	4 h	Lisää tiedostonkäsittelijän tekemistä
25.1	5 h	Tiedostonkäsittelijätestien tekemistä, reseptin poistotoiminto
28.1	1 h	Pientä korjailua
30.1	5 h	Graafisen käyttöliittymän aloittaminen
1.2	2 h	Graafista käyttöliittymää
2.2 	3 h 	Graafista käyttöliittymää
3.2	5 h	Graafista käyttöliittymää
4.2	5 h	Graafista käyttöliittymää, sekvenssikaavioita, JavaDocin aloittaminen
5.2	5 h	JavaDocin kirjoittamista, Graafista käyttöliittymää
6.2	2 h	JavaDocia, sekvenssikaavio
8.2	1,5 h	Ainesten tyhjennyksen korjaaminen
10.2	2,5 h	Hakuominaisuuden muokkaamista, koodin siistimistä
14.2 	0,5 h 	Pientä korjailua
15.2	4 h	Ilmoittimen korjaaminen, ohjeiden rivityksen korjaaminen, haun ulkokö ym.
16.2	2 h	JavaDocia käyttöliittymälle
18.2	2,5 h	JavaDocia, testauksen parantelua
19.2	0,5 h	Ohjelman rakenteen kuvaus
20.2	2 h	Käyttöohjeiden kirjoittaminen, testailu
22.2	0,5 h	Laajennusideoita, viimeinen pushaus!
